,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
1518096822.0,0.062252,0.061022,0.061282,0.060504,0.061091,0.061157,0.060035,0.05993,0.054329,0.053401,0.053379,0.05561,0.063938,0.060852,0.061471,0.063439,0.063535,0.060372,0.063135,0.055642,0.057813,0.059768,0.060964,0.057533,0.065048,0.056363,0.063131,0.060347,0.055815,0.054879,0.058884,0.061064,0.062083,0.05988,0.053806,0.05774,0.063875,0.076562,0.057956,0.056046,0.061469,0.056537,0.05879,0.05552,0.056198,0.055921,0.062103,0.056132,0.06553,0.062898,0.058772,0.054432,0.061444,0.057435,0.0581,0.060938,0.060423,0.062677,0.057231,0.061933,0.060809,0.054026,0.063217,0.061479,0.060303,0.062722,0.060428,0.061946,0.061036,0.076269,0.063391,0.057663,0.068041,0.062052,0.056104,0.059201,0.05623,0.055843,0.07553,0.055662,0.061699,0.052997,0.061919,0.056423,0.057471,0.057586,0.063004,0.061821,0.05642,0.057825,0.05624,0.056396,0.062688,0.056457,0.055746,0.086713
1518098120.0,0.069254,0.066299,0.066109,0.062962,0.065331,0.066391,0.064468,0.059191,0.06794,0.060872,0.063665,0.059872,0.072424,0.068101,0.066508,0.066467,0.063037,0.065807,0.057897,0.06159,0.059753,0.065771,0.065201,0.061958,0.066683,0.061328,0.065691,0.061906,0.06044,0.059885,0.061868,0.058698,0.056968,0.06339,0.059623,0.061786,0.071285,0.066619,0.065583,0.068564,0.06583,0.066096,0.065581,0.062357,0.058895,0.060422,0.05852,0.060076,0.075296,0.067218,0.067652,0.066672,0.066665,0.062001,0.05824,0.06511,0.065801,0.065702,0.061913,0.060542,0.07055,0.065982,0.067324,0.066856,0.06626,0.067057,0.066995,0.07062,0.063765,0.065638,0.064853,0.069416,0.077585,0.068014,0.06981,0.068911,0.06165,0.067621,0.084417,0.062921,0.066758,0.06462,0.068529,0.062437,0.068738,0.062012,0.067883,0.067803,0.06907,0.070655,0.070079,0.06931,0.071114,0.062848,0.063263,0.073316
1518099418.0,0.058755,0.051263,0.050322,0.050486,0.048567,0.04279,0.045686,0.045871,0.044803,0.042994,0.047718,0.046617,0.053403,0.045397,0.051171,0.044034,0.044321,0.043691,0.043535,0.044213,0.043736,0.043611,0.047543,0.047793,0.057121,0.045684,0.046699,0.044589,0.043663,0.043032,0.043452,0.044698,0.043265,0.043346,0.04378,0.049535,0.053408,0.04582,0.046112,0.044725,0.043484,0.043997,0.043322,0.043083,0.043251,0.045866,0.054584,0.047506,0.060088,0.049486,0.052009,0.043889,0.049711,0.043361,0.043109,0.043139,0.042996,0.044219,0.046212,0.044999,0.057577,0.056757,0.051259,0.051764,0.049226,0.043459,0.050103,0.044699,0.043233,0.048101,0.051534,0.049432,0.086913,0.065898,0.059924,0.057467,0.050221,0.045883,0.068624,0.0444,0.046539,0.044002,0.053267,0.048204,0.079012,0.071202,0.0758,0.077133,0.074301,0.066966,0.062768,0.058059,0.059694,0.059304,0.059264,0.072678
1518100712.0,0.053569,0.050177,0.05024,0.045171,0.05006,0.048702,0.042739,0.043541,0.047598,0.042279,0.042342,0.043243,0.05381,0.046959,0.049433,0.044514,0.044595,0.043115,0.042999,0.042997,0.048816,0.050473,0.048241,0.044733,0.051643,0.049719,0.050761,0.050346,0.043726,0.049144,0.042768,0.050234,0.042709,0.043331,0.041874,0.04661,0.053446,0.044512,0.047559,0.043433,0.045401,0.046684,0.048861,0.042568,0.044639,0.049788,0.043806,0.044204,0.062648,0.049796,0.048135,0.048858,0.050383,0.042788,0.04275,0.045464,0.045771,0.050258,0.044883,0.042597,0.056435,0.055039,0.04911,0.049491,0.042702,0.042608,0.050388,0.049738,0.042512,0.044065,0.049902,0.048128,0.098438,0.081805,0.07038,0.059976,0.049841,0.04576,0.068703,0.043474,0.047234,0.042972,0.044662,0.043547,0.089331,0.088928,0.086106,0.084146,0.077749,0.067389,0.055351,0.049819,0.051573,0.048512,0.04933,0.066566
1518102010.0,0.052816,0.04263,0.049666,0.049912,0.049664,0.049556,0.043047,0.049501,0.051392,0.044665,0.041858,0.043225,0.053713,0.05095,0.050629,0.050358,0.050534,0.045113,0.04803,0.049706,0.050046,0.050205,0.049577,0.045377,0.048956,0.051444,0.050473,0.050951,0.043363,0.043734,0.042768,0.049729,0.049772,0.050083,0.041606,0.041474,0.053766,0.051154,0.045703,0.047768,0.049929,0.050664,0.049902,0.042265,0.049815,0.050246,0.042214,0.045496,0.059453,0.04483,0.050269,0.050058,0.050723,0.047683,0.047114,0.042342,0.049082,0.043393,0.044424,0.042413,0.059434,0.054847,0.047705,0.050923,0.04954,0.045762,0.050318,0.050014,0.049843,0.04343,0.049826,0.04886,0.11511,0.086995,0.081812,0.064355,0.055314,0.044627,0.075058,0.043212,0.050571,0.044059,0.050129,0.043006,0.10291,0.097443,0.098265,0.096088,0.092205,0.072689,0.057538,0.049137,0.050209,0.04852,0.047765,0.059003
1518103300.0,0.052007,0.042248,0.049219,0.049488,0.049378,0.049242,0.048065,0.04906,0.051366,0.044121,0.041795,0.042361,0.052832,0.050613,0.05032,0.049981,0.050299,0.050445,0.049936,0.049993,0.050077,0.049999,0.048929,0.044864,0.047535,0.051154,0.050089,0.050564,0.042641,0.048101,0.042504,0.049699,0.049458,0.050002,0.041322,0.046602,0.053126,0.050749,0.049558,0.047385,0.049692,0.050147,0.049534,0.046423,0.049597,0.043817,0.046174,0.045516,0.058247,0.050626,0.049912,0.049595,0.050479,0.049762,0.046732,0.047413,0.049336,0.046702,0.044278,0.042756,0.064266,0.057095,0.052575,0.05101,0.049825,0.049668,0.05013,0.049691,0.049605,0.049681,0.049358,0.047599,0.13879,0.10157,0.09023,0.071399,0.053159,0.044145,0.073692,0.042896,0.050364,0.043014,0.044112,0.050089,0.11805,0.11295,0.11032,0.1062,0.10788,0.079732,0.058225,0.048623,0.049852,0.047581,0.047308,0.060083
1518104594.0,0.051253,0.049732,0.049034,0.049416,0.049218,0.048993,0.049121,0.048783,0.051151,0.048981,0.042241,0.042887,0.052021,0.0503,0.049876,0.049957,0.050016,0.050072,0.049691,0.049634,0.050122,0.049653,0.049333,0.044583,0.053669,0.050923,0.049789,0.050315,0.0503,0.042467,0.047881,0.049474,0.049171,0.049597,0.040991,0.041678,0.052473,0.05037,0.049143,0.050065,0.049337,0.049936,0.049195,0.049533,0.049263,0.04724,0.043064,0.043852,0.057711,0.050251,0.049703,0.049342,0.050265,0.049474,0.049543,0.049521,0.049093,0.050059,0.044134,0.048209,0.077878,0.058894,0.052975,0.051211,0.04957,0.049445,0.05144,0.049414,0.049253,0.049462,0.049236,0.04683,0.1725,0.11915,0.10483,0.081844,0.064843,0.044256,0.073782,0.042625,0.050062,0.041982,0.046035,0.049819,0.13193,0.13006,0.1281,0.12371,0.1291,0.090435,0.060628,0.048455,0.04967,0.047268,0.046937,0.05912
1518105890.0,0.05099,0.049674,0.049089,0.049356,0.049084,0.048834,0.04965,0.048651,0.051051,0.04925,0.04807,0.042273,0.051625,0.050238,0.049851,0.049691,0.049785,0.049881,0.049429,0.049415,0.049461,0.049574,0.049114,0.051911,0.053391,0.050827,0.049664,0.050146,0.050054,0.04892,0.04942,0.049316,0.048913,0.049465,0.041097,0.040676,0.051989,0.050337,0.049184,0.049919,0.049278,0.049833,0.049209,0.049393,0.049022,0.049724,0.048688,0.041993,0.057174,0.050033,0.049601,0.049303,0.050019,0.049433,0.049328,0.04909,0.049099,0.049891,0.043893,0.048664,0.088157,0.061801,0.053842,0.051199,0.049624,0.049316,0.049722,0.049314,0.049142,0.049352,0.049081,0.0467,0.20184,0.14052,0.12046,0.10077,0.067146,0.048411,0.079942,0.042526,0.050142,0.042107,0.048209,0.049655,0.15626,0.15789,0.15091,0.14495,0.14349,0.10045,0.064267,0.048293,0.049111,0.048048,0.046987,0.058331
1518107184.0,0.051288,0.04961,0.04912,0.049187,0.048982,0.049055,0.049008,0.04858,0.050918,0.048751,0.048658,0.04302,0.051936,0.050188,0.050138,0.049909,0.049951,0.049905,0.049628,0.049392,0.049463,0.050006,0.049335,0.05092,0.053585,0.050757,0.04995,0.050138,0.050212,0.049005,0.049369,0.049256,0.048904,0.049306,0.048291,0.04841,0.05191,0.050505,0.049156,0.050102,0.049315,0.050084,0.049191,0.049183,0.049082,0.049545,0.048618,0.043255,0.05786,0.050029,0.049712,0.049311,0.049998,0.049377,0.04931,0.048942,0.04901,0.049752,0.04396,0.048285,0.10114,0.066641,0.055835,0.051353,0.049566,0.049336,0.049746,0.048766,0.049105,0.049114,0.04915,0.047889,0.23482,0.16321,0.1396,0.11764,0.077081,0.053054,0.074929,0.043037,0.049922,0.041941,0.043457,0.049618,0.183,0.17702,0.17112,0.17415,0.16509,0.1118,0.072382,0.05101,0.05103,0.054387,0.047191,0.059548
1518108480.0,0.051008,0.049496,0.049003,0.049177,0.048907,0.048728,0.048715,0.048406,0.050863,0.048668,0.048669,0.049499,0.05158,0.050282,0.049964,0.05031,0.049685,0.049772,0.049432,0.04943,0.049252,0.049433,0.049,0.051713,0.053325,0.050544,0.049715,0.05015,0.050225,0.048778,0.04926,0.049172,0.048839,0.049328,0.048224,0.048384,0.051758,0.050209,0.048888,0.050118,0.049229,0.049647,0.049107,0.049253,0.049013,0.0494,0.048614,0.043328,0.057993,0.049976,0.049621,0.04917,0.049995,0.049308,0.049347,0.048949,0.050007,0.049629,0.044117,0.041518,0.11726,0.071704,0.05834,0.051691,0.049592,0.049131,0.049562,0.055497,0.049326,0.049082,0.049403,0.04477,0.27611,0.19218,0.16017,0.13479,0.08615,0.05462,0.081618,0.050075,0.049864,0.04199,0.043024,0.049437,0.20816,0.20402,0.19711,0.19528,0.18772,0.12749,0.076252,0.049561,0.051709,0.054524,0.054168,0.058006
